couple1,couple2,couple2_age,couple2_loc,couple2_occ,couple2_outcome,couple2_place,couple2_arrived,show_season,relationship_status
"Joelle ""JoJo"" Fletcher","Salvatore ""Sal"" DeJulio",28,"Hubbard, Ohio",Operations Manager,Week 1,21–26,---,The_Bachelorette_(season_12),Separated
Rachel Lindsay,Bryan Abasolo,37,"Miami, Florida",Chiropractor,Winner,1,---,The_Bachelorette_(season_13),Married
Rachel Lindsay,Peter Kraus ,31,"Madison, Wisconsin",Business Owner,Runner-Up,2,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Eric Bigger,29,"Baltimore, Maryland",Personal Trainer,Week 9,3,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Dean Unglert,26,"Aspen, Colorado",Startup Recruiter,Week 8,4,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Adam Gottschalk,27,"Dallas, Texas",Real Estate Agent,Week 7,5,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,"Matthew ""Matt"" Munson",32,"Meriden, Connecticut",Construction Sales Rep,Week 7,6,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,"Aleksandr ""Alex"" Bordyukov",28,"Grosse Pointe, Michigan",Information Systems Supervisor,Week 6,7,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,"William ""Will"" Gaskins",28,"White Plains, New York",Sales Manager,Week 6,8,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Kenny Layne,35,"Orlando, Florida",Professional Wrestler,Week 6,9,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Anthony Battle,26,"Chicago, Illinois",Education Software Manager,Week 5,10–11,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Josiah Graham,28,"Plantation, Florida",Prosecuting Attorney,Week 5,10–11,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Lee Garrett,30,"Jacksonville, Florida",Singer/Songwriter,Week 5,12,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,"Ignacio ""Iggy"" Rodriguez",30,"Pasadena, California",Consulting Firm CEO,Week 4,13–14,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Jonathan Treece,31,"Paragould, Arkansas",Tickle Monster,Week 4,13–14,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Jack Stone,32,"Dallas, Texas",Attorney,Week 4,15,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Brady Ervin,29,"Eden Prairie, Minnesota",Male Model,Week 3,16–18,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,"Kenneth ""Diggy"" Moreland",31,"Chicago, Illinois",Senior Inventory Analyst,Week 3,16–18,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Bryce Powers,30,"Orlando, Florida",Firefighter,Week 3,16–18,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,"Frederick ""Fred"" Johnson",27,"Dallas, Texas",Executive Assistant,Week 3,19,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Blake Elarbee,31,"Marina del Rey, California",Aspiring Drummer,Week 2,20–22,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,"James ""Jamey"" Kocan",32,"Santa Monica, California",Sales Account Executive,Week 2,20–22,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Lucas Yancey,30,"Woodside, California",Whaboom,Week 2,20–22,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,DeMario Jackson,30,"Century City, California",Executive Recruiter,Week 2,23,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Jedidiah Ballard,35,"Augusta, Georgia",ER Physician,Week 1,24–31,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Michael Black,26,"Chicago, Illinois",Former Professional Basketball Player,Week 1,24–31,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,"Robert ""Rob"" Howard",30,"Calgary, Alberta",Law Student,Week 1,24–31,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Grant Hubsher,29,"Palm Harbor, Florida",Emergency Medicine Physician,Week 1,24–31,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Blake Killpack,29,"San Francisco, California",U.S. Marine Veteran,Week 1,24–31,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Milton LaCroix,31,"North Bay Village, Florida",Hotel Recreation Supervisor,Week 1,24–31,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Mohit Sehgal,26,"Pacifica, California",Product Manager,Week 1,24–31,---,The_Bachelorette_(season_13),Separated
Rachel Lindsay,Kyle Sherwood,26,"Stratford, Connecticut",Marketing Consultant,Week 1,24–31,---,The_Bachelorette_(season_13),Separated
Becca Kufrin,Garrett Yrigoyen,29,"Manteca, California",Medical Sales Representative,Winner,1,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Blake Horstmann,28,"Bailey, Colorado",Sales Rep,Runner-up,2,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Jason Tartick,29,"Buffalo, New York",Senior Corporate Banker,Week 9,3,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Colton Underwood,26,"Washington, Illinois",Former Pro Football Player,Week 8,4,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,"William ""Wills"" Reid",29,"Los Angeles, California",Graphic Designer,Week 7,5,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,"Leandro ""Leo"" Dottavio",31,"Los Angeles, California",Actor,Week 7,6,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Connor Obrochta,25,"St. Petersburg, Florida",Fitness Coach,Week 6,7-8,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Lincoln Adim,26,"Boston, Massachusetts",Account Sales Executive,Week 6,7-8,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Chris Randone,30,"Orlando, Florida",Sales Trainer,Week 6,9,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,John Graham,28,"Chicago, Illinois",Software Engineer,Week 5,10,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Jordan Kimball,26,"Crystal River, Florida",Male Model,Week 5,11,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,David Ravitz,25,"Cherry Hill, New Jersey",Venture Capitalist,Week 5,12,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Christon Staples,31,"Los Angeles, California",Former Harlem Globetrotter,Week 4,13-14,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,"Nicholas ""Nick"" Spetsas",27,"Palm Coast, Florida",Attorney,Week 4,13-14,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Jean Blanc,31,"Boston, Massachusetts",Colognoisseur,Week 4,15,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,"Michael ""Mike"" Renner",27,"Cincinnati, Ohio",Sports Analyst,Week 3,16-17,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Ryan Peterson,26,"Mashpee, Massachusetts",Banjoist,Week 3,16-17,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Clay Harbor,30,"Chicago, Illinois",Pro Football Player,Week 3,18 (quit),---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Alex Templeman,31,"Atlanta, Georgia",Construction Manager,Week 2,19–21,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Rickey Jasper,27,"Ashburn, Virginia",IT Consultant,Week 2,19–21,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Trent Jespersen,28,"Carroll, Iowa",Realtor,Week 2,19–21,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Chase Vergason,27,"Sanford, Florida",Advertising Vice President,Week 1,22–27,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Christian Estrada,28,"San Diego, California",Banker,Week 1,22–27,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Darius Feaster,26,"Sherman Oaks, California",Pharmaceutical Sales Rep,Week 1,22–27,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Grant Vandevanter,27,"Danville, California",Electrician,Week 1,22–27,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Joe Amabile,31,"Chicago, Illinois",Grocery Store Owner,Week 1,22–27,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Kamil Nicalek,30,"Monroe, New York",Social Media Participant,Week 1,22–27,---,The_Bachelorette_(season_14),Separated
Becca Kufrin,Jake Enyeart,29,"Minneapolis, Minnesota",Marketing Consultant,Week 1,28,---,The_Bachelorette_(season_14),Separated
Hannah Brown,Jed Wyatt ,25,"Sevierville, Tennessee",Singer/Songwriter,Winner,1,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Tyler Cameron,26,"Jupiter, Florida",General Contractor,Runner-up,2,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Peter Weber,27,"Westlake Village, California",Pilot,Week 9,3,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Luke Parker,24,"Gainesville, Georgia",Import/Export Manager,Week 9,4,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Garrett Powell,27,"Homewood, Alabama",Golf Pro,Week 7,5,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Mike Johnson,31,"San Antonio, Texas",Portfolio Manager,Week 7,6,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Connor Saeli,24,"Birmingham, Michigan",Investment Analyst,Week 7,7,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Dustin Kendrick,30,"Chicago, Illinois",Real Estate Broker,Week 6,8–9,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Dylan Barbour,24,"San Diego, California",Tech Entrepreneur,Week 6,8–9,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Devin Harris,27,"Sherman Oaks, California",Talent Manager,Week 5,10–12,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Grant Eckel,30,"San Clemente, California",Unemployed,Week 5,10–12,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Kevin Fortenberry,27,"Manteno, Illinois",Behavioral Health Specialist,Week 5,10–12,---,The_Bachelorette_(season_15),Separated
Hannah Brown,John Paul Jones,24,"Lanham, Maryland",Financial Analyst,Week 4,13–14,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Matteo Valles,25,"Atlanta, Georgia",Management Consultant,Week 4,13–14,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Luke Stone,29,"Needham, Massachusetts",Political Consultant,Week 4,15 (quit),---,The_Bachelorette_(season_15),Separated
Hannah Brown,"Cameron ""Cam"" Ayala",30,"Austin, Texas",Software Sales,Week 3,16–18,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Joey Jones,33,"Bethesda, Maryland",Finance Manager,Week 3,16–18,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Jonathan Saunders,27,"Los Angeles, California",Server,Week 3,16–18,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Tyler Gwozdz†,28,"Boca Raton, Florida",Psychology Graduate Student,Week 3,19 (DQ),---,The_Bachelorette_(season_15),Separated
Hannah Brown,Connor Jenkins,28,"Newport Beach, California",Sales Manager,Week 2,20–22,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Daron Blaylock,25,"Buckhead, Georgia",IT Consultant,Week 2,20–22,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Matthew Spraggins,23,"Newport Beach, California",Car Bid Spotter,Week 2,20–22,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Brian Bowles,30,"Louisville, Kentucky",Math Teacher,Week 1,23–29,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Chasen Coscia,27,"Ann Arbor, Michigan",Pilot,Week 1,23–29,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Hunter Jones,24,"Westchester, California",Pro Surfer,Week 1,23–29,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Joe Barsano,30,"Chicago, Illinois",The Box King,Week 1,23–29,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Matt Donald,26,"Los Gatos, California",Medical Device Salesman,Week 1,23–29,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Ryan Spirko,25,"Philadelphia, Pennsylvania",Roller Boy,Week 1,23–29,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Thomas Staton,27,"Detroit, Michigan",International Pro Basketball Player,Week 1,23–29,---,The_Bachelorette_(season_15),Separated
Hannah Brown,Scott Andersen,28,"Chicago, Illinois",Software Sales Executive,Week 1,30,---,The_Bachelorette_(season_15),Separated
